Name,Commercial Type,Price,sq metres,Neighbourhood,Price per sq metres
"Cleary's Bar, Lounge & Adjacent Barbers Shop, Amiens Street, Dublin 1",Restaurant / Bar / Hotel For Sale,1500000.0,301.0,Dublin 1,4983.39
"21 Ormond Quay Upper, Dublin 1",Restaurant / Bar / Hotel For Sale,2250000.0,570.0,Dublin 1,3947.37
"308 The Capel Building, Mary Street, Dublin 1",Office For Sale,180000.0,38.0,Dublin 1,4736.84
"Independent House, Talbot Street, Dublin 1",Investment Property For Sale,29000000.0,4173.0,Dublin 1,6949.44
"3, 4 & 5 Dorset Street Lower, Dublin 1",Investment Property For Sale,2300000.0,1592.0,Dublin 1,1444.72
"31 Liffey Street Upper, Dublin 1",Investment Property For Sale,1400000.0,4.0,Dublin 1,350000.0
"34 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000.0,50.0,Dublin 1,17000.0
"32 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000.0,55.0,Dublin 1,15454.55
"23 Liffey Street Upper, Dublin 1",Retail Unit For Sale,1100000.0,161.0,Dublin 1,6832.3
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Restaurant / Bar / Hotel For Sale,2750000.0,560.0,Dublin 1,4910.71
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Investment Property For Sale,2750000.0,560.0,Dublin 1,4910.71
"37 North Lotts, off Bachelors walk, Dublin 1",Office For Sale,325000.0,55.0,Dublin 1,5909.09
"625 North Circular Road, Dublin 1",Investment Property For Sale,1100000.0,211.0,Dublin 1,5213.27
"Modern Office, Ormond Quay Lower, Dublin 1",Investment Property To Let or For Sale,1300000.0,465.0,Dublin 1,2795.7
"11/11A Ormond Quay Lower, Dublin 1",Office To Let or For Sale,1300000.0,465.0,Dublin 1,2795.7
"67 Upper Dorset Street, Dublin 1",Investment Property For Sale,650000.0,246.0,Dublin 1,2642.28
"11 North King Street, Dublin 1",Investment Property For Sale,475000.0,93.0,Dublin 1,5107.53
"The Chancery Inn 1 Inns Quay/37 Charles Street West, Smithfield, Dublin 1",Investment Property For Sale,1350000.0,405.0,Dublin 1,3333.33
"14 Capel Street, Dublin 1",Investment Property For Sale,1300000.0,393.0,Dublin 1,3307.89
"32 Lower Ormond Quay, Dublin 1, Dublin 1",Investment Property For Sale,700000.0,314.0,Dublin 1,2229.3
"The Flowing Tide Pub, 9 Lower Abbey Street, Dublin 1",Restaurant / Bar / Hotel For Sale,2200000.0,372.0,Dublin 1,5913.98
"4 Summer Street North, Dublin 1",Investment Property For Sale,395000.0,103.0,Dublin 1,3834.95
"9 Ossory Road, North Strand, Dublin 1",Investment Property For Sale,350000.0,67.0,Dublin 1,5223.88
"17/18 North Frederick Street, Dublin 1",Retail Unit For Sale,700000.0,290.0,Dublin 1,2413.79
"510 North Circular Road, North Circular Road, Dublin 1",Investment Property For Sale,500000.0,154.0,Dublin 1,3246.75
"33 Bachelors Walk, Dublin 1",Investment Property For Sale,1300000.0,288.0,Dublin 1,4513.89
"Dorset St Lwr, Dublin 1",Investment Property For Sale,2300000.0,1700.0,Dublin 1,1352.94
"1 Frenchman's Lane & 58 Gardiner Street Lower, Dublin 1",Investment Property For Sale,600000.0,164.0,Dublin 1,3658.54
"565 North Circular Road, North Circular Road, Dublin 1",Investment Property For Sale,1100000.0,288.0,Dublin 1,3819.44
"8-9 Dorset Street Lower, Dublin 1",Investment Property For Sale,800000.0,269.0,Dublin 1,2973.98
"93 Derrynane Square, Dorset Street, Dublin 1",Investment Property For Sale,295000.0,52.0,Dublin 1,5673.08
"446A, North Circular Road, Dublin 1",Investment Property For Sale,195000.0,116.0,Dublin 1,1681.03
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",Investment Property For Sale,195000.0,116.0,Dublin 1,1681.03
"43 Lower Leeson Street, Dublin 2",Investment Property For Sale,2300000.0,367.0,Dublin 2,6267.03
"Ormond Quay Lower, Dublin 2",Investment Property To Let or For Sale,1300000.0,465.0,Dublin 2,2795.7
"3 Kingram Place, South City Centre, D02 X893, Dublin 2",Office For Sale,1250000.0,192.0,Dublin 2,6510.42
"12 BRUNSWICK PLACE D02 PA09 BRUNSWICK PLACE, South City Centre, BRUNSWICK PLACE, D02 PA09, Dublin 2",Industrial Unit For Sale,700000.0,229.0,Dublin 2,3056.77
"39-43 Merrion Square, South City Centre, D02 NP96, Dublin 2",Investment Property For Sale,15000000.0,2792.0,Dublin 2,5372.49
"Unit 1, Music Hall Cows Lane, Temple Bar, D08 HW42, Dublin 2",Retail Unit For Sale,175000.0,25.0,Dublin 2,7000.0
"13 Trinity Street, Dublin 2",Development Land For Sale,4200000.0,568.0,Dublin 2,7394.37
"48/49 Leeson Street Lower, D02 W682, Dublin 2",Investment Property For Sale,5500000.0,1139.0,Dublin 2,4828.8
"3 Harmony Court, Harmony Row, D02 VY52, Dublin 2",Investment Property For Sale,2250000.0,316.0,Dublin 2,7120.25
"5 / 5A Montague Street, Dublin 2",Investment Property For Sale,1100000.0,330.0,Dublin 2,3333.33
"6 Pembroke Place, Dublin 2",Investment Property For Sale,990000.0,192.0,Dublin 2,5156.25
"47 Merrion Square, Dublin 2",Investment Property For Sale,6250000.0,792.0,Dublin 2,7891.41
"14 Wentworth Place, Elbana Villas, Dublin 2",Investment Property For Sale,1050000.0,170.0,Dublin 2,6176.47
"17 Fitzwilliam Place, Dublin 2",Investment Property For Sale,4300000.0,1103.0,Dublin 2,3898.46
"4 St Stephen's Green, Dublin 2",Investment Property For Sale,4250000.0,297.0,Dublin 2,14309.76
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",Investment Property For Sale,2750000.0,935.0,Dublin 2,2941.18
"Fitzwilliam 28, Fitzwilliam Street Lower, Dublin 2",Investment Property For Sale,168000000.0,12599.0,Dublin 2,13334.39
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",Investment Property For Sale,2500000.0,166.0,Dublin 2,15060.24
"39 Camden Street, Dublin 2",Investment Property For Sale,2200000.0,458.0,Dublin 2,4803.49
"Pearse Street, Dublin 2",Investment Property For Sale,750000.0,214.0,Dublin 2,3504.67
"Dame Street, Dublin 2",Restaurant / Bar / Hotel For Sale,500000.0,35.0,Dublin 2,14285.71
"Pearse Street, Dublin 2",Retail Unit For Sale,750000.0,232.0,Dublin 2,3232.76
"3 Nassau Street, Dublin 2",Retail Unit For Sale,700000.0,151.0,Dublin 2,4635.76
"46 Merrion Square, Dublin 2",Investment Property For Sale,5750000.0,739.0,Dublin 2,7780.78
"46 & 47 Merrion Square, Dublin 2",Investment Property For Sale,12000000.0,1531.0,Dublin 2,7838.01
"67 Camden Street, Dublin 2",Retail Unit For Sale,700000.0,170.0,Dublin 2,4117.65
"26-28 Dawson Street, Dublin 2",Investment Property For Sale,4750000.0,414.0,Dublin 2,11473.43
"29 Merrion Square, Dublin 2",Office For Sale,4000000.0,443.0,Dublin 2,9029.35
"26 Parliament Street, Dublin 2",Investment Property For Sale,1250000.0,278.0,Dublin 2,4496.4
"17 Clanwilliam Square, Grand Canal Dock, Dublin 2",Office For Sale,550000.0,104.0,Dublin 2,5288.46
"94 Lower Baggot Street, Dublin 2",Investment Property For Sale,2400000.0,332.0,Dublin 2,7228.92
"16 Fairview, Fairview, Dublin 3",Retail Unit For Sale,495000.0,125.0,Dublin 3,3960.0
"80 Philipsburgh Avenue, Fairview, Dublin 3, Fairview, Dublin 3",Development Land For Sale,3000000.0,1006.0,Dublin 3,2982.11
"147 / 148 Church Road, East Wall, Dublin 3",Investment Property For Sale,700000.0,270.0,Dublin 3,2592.59
"146 North Strand Road, North Strand, Dublin 3",Investment Property For Sale,650000.0,210.0,Dublin 3,3095.24
"93A Howth Road, Clontarf, Dublin 3",Restaurant / Bar / Hotel For Sale,195000.0,71.0,Dublin 3,2746.48
"202 Clonliffe Road, Drumcondra, Dublin 3",Investment Property For Sale,400000.0,279.0,Dublin 3,1433.69
"Tudor House & Beechfield House, Clontarf, Dublin 3",Investment Property For Sale,4500000.0,817.0,Dublin 3,5507.96
"Unit 24 Merrion Shopping Centre, Dublin 4",Investment Property For Sale,225000.0,54.0,Dublin 4,4166.67
"Site at Donnybrook Road, Dublin 4",Investment Property For Sale,2500000.0,570.0,Dublin 4,4385.96
"Block B, The Willows, Claremont Road, Sandymount, Sandymount, Dublin 4",Investment Property For Sale,8000000.0,1823.0,Dublin 4,4388.37
"52 Pembroke Road, Dublin 4",Investment Property For Sale,1200000.0,300.0,Dublin 4,4000.0
"120 Pembroke Road, Ballsbridge, Dublin 4",Investment Property For Sale,1975000.0,400.0,Dublin 4,4937.5
"10 Thorncastle Street, Ringsend, Dublin 4",Investment Property For Sale,850000.0,83.0,Dublin 4,10240.96
"72 Haddington Road, Dublin 4",Office For Sale,1550000.0,240.0,Dublin 4,6458.33
"Appian Way / Leeson Street Upper, Dublin 4",Development Land For Sale,4500000.0,930.0,Dublin 4,4838.71
"Circle K, Donnybrook, Dublin 4",Investment Property For Sale,4000000.0,1052.0,Dublin 4,3802.28
"Castleview House, 22 Sandymount Green, Sandymount, Dublin 4",Office For Sale,1450000.0,164.0,Dublin 4,8841.46
"51 Kilbarrack Road, D05 R6K2, Kilbarrack, Dublin 5",Investment Property For Sale,650000.0,228.0,Dublin 5,2850.88
"McAloons, 15 Edenmore Shopping Centre, Edenmore, Dublin 5",Retail Unit For Sale,325000.0,180.0,Dublin 5,1805.56
"Castle Petrol Filling Station, Artane, Dublin 5",Investment Property For Sale,2400000.0,250.0,Dublin 5,9600.0
"3 Malahide Road, Artane, Dublin 5",Investment Property For Sale,650000.0,186.0,Dublin 5,3494.62
"6 Coolock Village, Main Street, Coolock, Dublin 5",Retail Unit For Sale,100000.0,124.0,Dublin 5,806.45
"52 Brighton Road, Rathgar, Dublin 6",Investment Property For Sale,1200000.0,214.0,Dublin 6,5607.48
"27 Ranelagh Road, Ranelagh, Dublin 6",Retail Unit For Sale,1500000.0,242.0,Dublin 6,6198.35
"Former Murphy & Gunn Showrooms & rear site, Milltown Road, Milltown, Dublin 6",Commercial Site For Sale,7000000.0,4047.0,Dublin 6,1729.68
"73, 75, 77 Rathmines Road Upper, Rathmines, Dublin 6",Investment Property For Sale,2750000.0,757.0,Dublin 6,3632.76
"65 Harold's Cross Road, Harold's Cross, Dublin 6",Investment Property For Sale,650000.0,156.0,Dublin 6,4166.67
"22 Greenmount Industrial Estate, Harold's Cross, Dublin 6w",Investment Property For Sale,575000.0,297.0,Dublin 6w,1936.03
"Terenure Rd Terenure Dublin 6 w, Terenure, Dublin 6w",Retail Unit For Sale,39800.0,37.0,Dublin 6w,1075.68
"300 Harold's Cross Road, Harold's Cross, Dublin 6w",Investment Property For Sale,1250000.0,340.0,Dublin 6w,3676.47
"72 Eccles Street, Phibsborough, D07 RD8P, Dublin 7",Investment Property For Sale,2250000.0,382.0,Dublin 7,5890.05
"344 North Circular Road, Phibsborough, Dublin 7",Retail Unit For Sale,175000.0,43.0,Dublin 7,4069.77
"Unit 16 Phibsborough Shopping Centre, Phibsborough, Dublin 7",Retail Unit For Sale,1250000.0,177.0,Dublin 7,7062.15
"Unit 507 The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,250000.0,33.0,Dublin 7,7575.76
"Unit 112, The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,200000.0,37.0,Dublin 7,5405.41
"Unit 221, The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,250000.0,42.0,Dublin 7,5952.38
"88, 89, 90 and 92a Prussia Street, Dublin 7",Investment Property For Sale,1800000.0,557.0,Dublin 7,3231.6
"Cabra Barber Shop 56c Dowth Avenue, Cabra, Dublin 7",Retail Unit For Sale,150000.0,42.0,Dublin 7,3571.43
"1 Imaal Mart, Imall Road, Cabra, Dublin 7",Retail Unit For Sale,150000.0,37.0,Dublin 7,4054.05
"79 Montpellier Hill, Arbour Hill, Dublin 7",Investment Property For Sale,1800000.0,319.0,Dublin 7,5642.63
"Suite 108 Capel Building, Dublin 7",Office For Sale,125000.0,33.0,Dublin 7,3787.88
"The Chancery Inn, Inns Quay, Smithfield, Dublin 7",Investment Property For Sale,1350000.0,405.0,Dublin 7,3333.33
"88 North King Street, Dublin 7",Investment Property For Sale,600000.0,126.0,Dublin 7,4761.9
"Maple Village Centre, Navan Road (D7), Dublin 7",Investment Property For Sale,7100000.0,2544.0,Dublin 7,2790.88
"2 Villa Park Avenue, Off Navan Road, Dublin 7",Investment Property For Sale,435000.0,93.0,Dublin 7,4677.42
"296C North Circular Road, Phibsborough, Dublin 7",Investment Property For Sale,375000.0,135.0,Dublin 7,2777.78
"296B NOrth Circular Road, North Circular Road, Dublin 7",Investment Property For Sale,445000.0,182.0,Dublin 7,2445.05
"Unit 1, Ardee Court, Dublin 8",Retail Unit For Sale,110000.0,47.0,Dublin 8,2340.43
"The Bank House, 14 Cornmarket, Merchants Quay, Dublin 8",Investment Property For Sale,585000.0,132.0,Dublin 8,4431.82
"Unit 2 Jamestown Industrial Estate, Inchicore, Dublin 8",Industrial Unit To Let or For Sale,795000.0,1241.0,Dublin 8,640.61
"10 Meath Street, The Liberties, Dublin 8, Dublin 8",Investment Property For Sale,495000.0,137.0,Dublin 8,3613.14
"128-129 Thomas Street, Dublin 8",Retail Unit For Sale,975000.0,264.0,Dublin 8,3693.18
"Unit 3 Oblate View, Inchicore, Dublin 8",Investment Property For Sale,220000.0,38.0,Dublin 8,5789.47
"63 Clanbrassil Street Lower, Dublin 8",Retail Unit For Sale,395000.0,157.0,Dublin 8,2515.92
"344 South Circular Road, South Circular Road, Dublin 8",Retail Unit For Sale,549950.0,204.0,Dublin 8,2695.83
"Clanbrassil Street, Dublin 8",Restaurant / Bar / Hotel For Sale,420000.0,204.0,Dublin 8,2058.82
"The Millworks, Islandbridge, Dublin 8",Investment Property For Sale,12500000.0,2283.0,Dublin 8,5475.25
"Kingsland Park, St Kevins Road, Portobello, Dublin 8, Dublin 8",Office For Sale,1200000.0,254.0,Dublin 8,4724.41
"109 South Circular Road, Dublin 8",Office For Sale,600000.0,175.0,Dublin 8,3428.57
"South Circular Road, Portobello, Dublin 8",Investment Property For Sale,1500000.0,580.0,Dublin 8,2586.21
"7 Clanbrassil Terrace, Dublin 8",Investment Property For Sale,225000.0,40.0,Dublin 8,5625.0
"45-46 Thomas Street, Dublin 8",Investment Property For Sale,330000.0,104.0,Dublin 8,3173.08
"41 James's Street, Dublin 8",Investment Property For Sale,1300000.0,340.0,Dublin 8,3823.53
"40 James's Street, Dublin 8",Investment Property For Sale,1500000.0,516.0,Dublin 8,2906.98
"40 James's Street, Dublin 8",Office For Sale,1500000.0,516.0,Dublin 8,2906.98
"115-117 Emmet Road, Kilmainham bank, Inchicore, Dublin 8",Retail Unit To Let or For Sale,250000.0,120.0,Dublin 8,2083.33
"13 Williams Place, Dublin 8",Investment Property For Sale,250000.0,95.0,Dublin 8,2631.58
"80 Thomas Street, Dublin 8",Commercial Site For Sale,650000.0,43.0,Dublin 8,15116.28
"21 Prospect Road, Glasnevin, Dublin 9",Investment Property For Sale,575000.0,177.0,Dublin 9,3248.59
"Woodville, 52/54 Botanic Avenue, Drumcondra, Dublin 9",Investment Property For Sale,1800000.0,420.0,Dublin 9,4285.71
"3a Iona Crescent, Glasnevin, Dublin 9",Retail Unit For Sale,100000.0,35.0,Dublin 9,2857.14
"12 &12A Wigan Road, Drumcondra, Dublin 9",Investment Property For Sale,835000.0,200.0,Dublin 9,4175.0
"4 Grace Park Gardens, Drumcondra, Dublin 9",Investment Property For Sale,700000.0,184.0,Dublin 9,3804.35
"Units 26, 42 & 43 Cherry Orchard Industrial Estate, Ballyfermot, Ballyfermot, Dublin 10",Industrial Unit To Let or For Sale,1950000.0,4297.0,Dublin 10,453.8
"Killeen Hall, Old Killeen Road, Cherry Orchard, Dublin 10",Investment Property For Sale,2800000.0,929.0,Dublin 10,3013.99
"D23, The Enterprise Centre, North City Business Park, Finglas, Dublin 11",Industrial Unit For Sale,495000.0,288.0,Dublin 11,1718.75
"Unit 10 North Park, Junction 5 M50, Finglas, Dublin 11",Industrial Unit For Sale,3200000.0,3510.0,Dublin 11,911.68
"Unit 94B Lagan Road, Dublin Industrial Estate, Glasnevin, Dublin 11",Industrial Unit For Sale,380000.0,641.0,Dublin 11,592.82
"Unit C2 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,1350000.0,1119.0,Dublin 11,1206.43
"6 Pinewood Green, Glasnevin, Dublin 11",Investment Property For Sale,475000.0,187.0,Dublin 11,2540.11
"Glasilawn Avenue, Glasnevin, Dublin 11",Retail Unit For Sale,450000.0,93.0,Dublin 11,4838.71
"'Clever Buys' 1 Mc Kee Rd, Finglas, Dublin 11",Retail Unit For Sale,165000.0,84.0,Dublin 11,1964.29
"21 Cardiffsbridge Road, Finglas, Dublin 11",Retail Unit For Sale,135000.0,186.0,Dublin 11,725.81
"Poppintree Cottages, Finglas, Dublin 11",Investment Property For Sale,480000.0,190.0,Dublin 11,2526.32
"5a McKee Ave, Finglas, Dublin 11",Retail Unit For Sale,170000.0,43.0,Dublin 11,3953.49
"6 Church Street, Finglas, Dublin 11",Investment Property For Sale,395000.0,149.0,Dublin 11,2651.01
"17 Willow Park Road, Glasnevin, Dublin 11",Investment Property For Sale,425000.0,123.0,Dublin 11,3455.28
"12a Grove Road, Finglas, Dublin 11",Retail Unit For Sale,350000.0,174.0,Dublin 11,2011.49
"S4 Unit S4 Henry Road, Parkwest Industrial Park, D12 VKP4, Park West, Dublin 12",Industrial Unit For Sale,575000.0,696.0,Dublin 12,826.15
"Unit D7 Ballymount Industrial Estate, Dublin City, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,460000.0,514.0,Dublin 12,894.94
"Unit 9 Parkwest Enterprise Centre Lavery Avenue, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",Industrial Unit For Sale,175000.0,179.0,Dublin 12,977.65
"Unit 12 Parkwest Enterprise Centre Lavery Avenue D12, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",Industrial Unit For Sale,395000.0,421.0,Dublin 12,938.24
"Unit 75 Park West Enterprise Centre, Park West, Dublin 12",Investment Property For Sale,150000.0,160.0,Dublin 12,937.5
"24 Fashion City, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,475000.0,502.0,Dublin 12,946.22
"Unit 67 Western Parkway Business Park, Lower Ballymount Road, Ballymount, Dublin 12",Investment Property For Sale,220000.0,286.0,Dublin 12,769.23
"Units 9A & 9B Park West Industrial Park, Nangor Road, Park West, Dublin 12",Investment Property For Sale,3050000.0,3143.0,Dublin 12,970.41
"Unit 242 Holly Road, Western Industrial Estate, Naas Road, Walkinstown, Dublin 12",Industrial Unit For Sale,750000.0,858.0,Dublin 12,874.13
"3A Ballymount Cross Industrial Estate, Ballymount Road, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,560000.0,546.0,Dublin 12,1025.64
"Unit 14A Mulcahy Keane Industrial Estate, Greenhills Road, Walkinstown, Dublin 12",Industrial Unit For Sale,150000.0,172.0,Dublin 12,872.09
"Centro House, Bluebell Avenue, Bluebell Industrial Estate, Bluebell, Dublin 12",Industrial Unit For Sale,995000.0,1596.0,Dublin 12,623.43
"A3 Parkway Business Centre, Ballymount Road Lower, Ballymount, Dublin 12",Industrial Unit For Sale,430000.0,399.0,Dublin 12,1077.69
"Unit 3 Western Parkway Business Centre, Ballymount, Dublin 12",Office For Sale,1300000.0,1051.0,Dublin 12,1236.92
"ABC Stores, Bunting Road, Walkinstown, Dublin 12",Retail Unit For Sale,500000.0,110.0,Dublin 12,4545.45
"20B Greenhills Industrial Estate, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,450000.0,665.0,Dublin 12,676.69
"Industrial Unit to Rear of 13 Hughes Road North, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,150000.0,75.0,Dublin 12,2000.0
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",Investment Property For Sale,225000.0,203.0,Dublin 12,1108.37
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",Industrial Unit For Sale,225000.0,203.0,Dublin 12,1108.37
"Unit D2C, Bluebell, Dublin 12",Industrial Unit For Sale,345000.0,465.0,Dublin 12,741.94
"Park West Drive, Park West, Dublin 12",Industrial Unit To Let or For Sale,525000.0,505.0,Dublin 12,1039.6
"Unit S3A Henry Road, Park West Industrial Park, Parkwest, Dublin 12, Park West, Dublin 12",Industrial Unit For Sale,2500000.0,3004.0,Dublin 12,832.22
"Unit 12 Park West Drive, Park West, Dublin 12",Industrial Unit To Let or For Sale,550000.0,415.0,Dublin 12,1325.3
"7 Robinhood Business Park, Robinhood Road, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,345000.0,310.0,Dublin 12,1112.9
"3B & 3C Avonbeg Industrial Estate, Longmile Rd, Walkinstown, Dublin 12",Industrial Unit For Sale,600000.0,887.0,Dublin 12,676.44
"Riverview House, Riverview Business Park, Nangor Road, Park West, Dublin 12",Office For Sale,850000.0,927.0,Dublin 12,916.94
"Unit 12 Willow Business Park, Knockmitten Lane, Park West, Dublin 12",Investment Property For Sale,220000.0,203.0,Dublin 12,1083.74
"Kylemore road, Bluebell, Dublin 12",Industrial Unit To Let or For Sale,500000.0,465.0,Dublin 12,1075.27
"Unit 40 Park West Enterprise Centre, Park West, Dublin 12",Industrial Unit To Let or For Sale,185000.0,177.0,Dublin 12,1045.2
"Unit 14 Mulcahy Keane Industrial estate, Greenhille Road, Walkinstown, Dublin 12",Industrial Unit For Sale,425000.0,465.0,Dublin 12,913.98
"3 Ballymount Cottages, Turnpike road, Ballymount, Dublin 12",Commercial Site For Sale,595000.0,1100.0,Dublin 12,540.91
"Floods Bar, 140 & 142 Sundrive Road, Kimmage, Dublin 12",Restaurant / Bar / Hotel For Sale,975000.0,582.0,Dublin 12,1675.26
"122a Cromwellsfort Road and 2 Cherry Grove Road, Walkinstown, Dublin 12",Commercial Site For Sale,850000.0,1376.0,Dublin 12,617.73
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Investment Property For Sale,3300000.0,933.0,Dublin 12,3536.98
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Retail Unit For Sale,3300000.0,933.0,Dublin 12,3536.98
"5 Saint Agnes Road, Crumlin, Dublin 12",Retail Unit To Let or For Sale,550000.0,115.0,Dublin 12,4782.61
"Unit 11 Western Parkway Business Centre, Ballymount Drive, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,180000.0,196.0,Dublin 12,918.37
"Unit 79 Western Parkway Business Park, Ballymount, Dublin 12",Industrial Unit For Sale,250000.0,255.0,Dublin 12,980.39
"50 A Robinhood Road, Ballymount, Dublin 12",Industrial Unit For Sale,595000.0,776.0,Dublin 12,766.75
"2 La Touche Road, Bluebell, Dublin 12",Retail Unit For Sale,170000.0,76.0,Dublin 12,2236.84
"Unit 7 A, Riverview Business Park, New Nangor Road, Park West, Dublin 12",Industrial Unit For Sale,225000.0,194.0,Dublin 12,1159.79
