Name,Latitude,Longitude
"Cleary's Bar, Lounge & Adjacent Barbers Shop, Amiens Street, Dublin 1",53.3521455,-6.249610499999999
"21 Ormond Quay Upper, Dublin 1",53.3458929,-6.270229
"308 The Capel Building, Mary Street, Dublin 1",53.3466549,-6.269337999999999
"Independent House, Talbot Street, Dublin 1",53.35125,-6.2529067
"3, 4 & 5 Dorset Street Lower, Dublin 1",53.3576333,-6.2632055
"31 Liffey Street Upper, Dublin 1",53.3482371,-6.2642264
"34 Liffey Street Lower, Dublin 1",53.3469497,-6.263478699999999
"32 Liffey Street Lower, Dublin 1",53.3470305,-6.2635011
"23 Liffey Street Upper, Dublin 1",53.3486802,-6.264374699999999
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",53.3521455,-6.249610499999999
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",53.3521455,-6.249610499999999
"37 North Lotts, off Bachelors walk, Dublin 1",53.3479129,-6.2608973
"625 North Circular Road, Dublin 1",53.3573272,-6.2498195
"Modern Office, Ormond Quay Lower, Dublin 1",53.3461928,-6.2676151
"11/11A Ormond Quay Lower, Dublin 1",53.3463335,-6.266578699999999
"67 Upper Dorset Street, Dublin 1",53.35712359999999,-6.2672444
"11 North King Street, Dublin 1",53.35062259999999,-6.271302100000001
"The Chancery Inn 1 Inns Quay/37 Charles Street West, Smithfield, Dublin 1",53.345675,-6.271838000000001
"14 Capel Street, Dublin 1",53.3469061,-6.2680123
"32 Lower Ormond Quay, Dublin 1, Dublin 1",53.346531,-6.2643435
"The Flowing Tide Pub, 9 Lower Abbey Street, Dublin 1",53.348743,-6.257746
"4 Summer Street North, Dublin 1",53.35691989999999,-6.2528605
"9 Ossory Road, North Strand, Dublin 1",53.3562784,-6.2431245
"17/18 North Frederick Street, Dublin 1",53.3559057,-6.2648651
"510 North Circular Road, North Circular Road, Dublin 1",53.3584442,-6.2560536
"33 Bachelors Walk, Dublin 1",53.3475571,-6.259977
"Dorset St Lwr, Dublin 1",53.3575297,-6.2634896
"Dorset St Lwr, Dublin 1",53.3594057,-6.2616947
"1 Frenchman's Lane & 58 Gardiner Street Lower, Dublin 1",53.3500796,-6.253396899999999
"565 North Circular Road, North Circular Road, Dublin 1",53.3583996,-6.2538735
"8-9 Dorset Street Lower, Dublin 1",53.3602743,-6.2609534
"93 Derrynane Square, Dorset Street, Dublin 1",53.3608,-6.261380700000001
"446A, North Circular Road, Dublin 1",53.3510962,-6.2962425
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",53.3516004,-6.294974799999999
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",53.35945419999999,-6.2609129
"43 Lower Leeson Street, Dublin 2",53.333088,-6.2541479
"Ormond Quay Lower, Dublin 2",53.3462147,-6.267542199999999
"3 Kingram Place, South City Centre, D02 X893, Dublin 2",53.3340857,-6.252902199999999
"12 BRUNSWICK PLACE D02 PA09 BRUNSWICK PLACE, South City Centre, BRUNSWICK PLACE, D02 PA09, Dublin 2",53.3424308,-6.2443007
"39-43 Merrion Square, South City Centre, D02 NP96, Dublin 2",53.3354548,-6.25699
"Unit 1, Music Hall Cows Lane, Temple Bar, D08 HW42, Dublin 2",53.3443674,-6.2688172
"13 Trinity Street, Dublin 2",53.3437032,-6.2621004
"48/49 Leeson Street Lower, D02 W682, Dublin 2",53.3327102,-6.2538646
"3 Harmony Court, Harmony Row, D02 VY52, Dublin 2",53.34155029999999,-6.2437988
"5 / 5A Montague Street, Dublin 2",53.3365433,-6.264781500000001
"6 Pembroke Place, Dublin 2",53.334257,-6.2543254
"47 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"14 Wentworth Place, Elbana Villas, Dublin 2",53.3405025,-6.243202699999999
"17 Fitzwilliam Place, Dublin 2",53.3332707,-6.2522864
"4 St Stephen's Green, Dublin 2",53.33999069999999,-6.2601973
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3338572,-6.2521092
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3338572,-6.2521092
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3314348,-6.2393893
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",53.3453329,-6.2652934
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",53.3450638,-6.267332199999999
"39 Camden Street, Dublin 2",53.3347855,-6.2641192
"Pearse Street, Dublin 2",53.3439494,-6.247707999999999
"Pearse Street, Dublin 2",53.3438545,-6.247948
"Dame Street, Dublin 2",53.3440497,-6.2669865
"Dame Street, Dublin 2",53.344183,-6.264814200000001
"Pearse Street, Dublin 2",53.3439494,-6.247707999999999
"Pearse Street, Dublin 2",53.3438545,-6.247948
"3 Nassau Street, Dublin 2",53.3421104,-6.254921599999999
"46 Merrion Square, Dublin 2",53.338287,-6.247849299999999
"46 & 47 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"67 Camden Street, Dublin 2",53.33479670000001,-6.2655492
"26-28 Dawson Street, Dublin 2",53.33979859999999,-6.2588248
"29 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"26 Parliament Street, Dublin 2",53.3442817,-6.2672721
"17 Clanwilliam Square, Grand Canal Dock, Dublin 2",53.3398851,-6.2396756
"94 Lower Baggot Street, Dublin 2",53.33546500000001,-6.247376000000001
"16 Fairview, Fairview, Dublin 3",53.36255,-6.2384653
"16 Fairview, Fairview, Dublin 3",53.3633306,-6.235371199999999
"80 Philipsburgh Avenue, Fairview, Dublin 3, Fairview, Dublin 3",53.3662196,-6.2393491
"147 / 148 Church Road, East Wall, Dublin 3",53.3551366,-6.2350756
"146 North Strand Road, North Strand, Dublin 3",53.3573813,-6.242697799999999
"93A Howth Road, Clontarf, Dublin 3",53.36815490000001,-6.2133638
"202 Clonliffe Road, Drumcondra, Dublin 3",53.3634001,-6.2542946
"202 Clonliffe Road, Drumcondra, Dublin 3",53.3620716,-6.2532501
"Tudor House & Beechfield House, Clontarf, Dublin 3",53.3613134,-6.201803399999999
"Unit 24 Merrion Shopping Centre, Dublin 4",53.31855669999999,-6.213863
"Site at Donnybrook Road, Dublin 4",53.3226182,-6.236988900000001
"Block B, The Willows, Claremont Road, Sandymount, Sandymount, Dublin 4",53.3306421,-6.2184042
"52 Pembroke Road, Dublin 4",53.3327222,-6.2398741
"120 Pembroke Road, Ballsbridge, Dublin 4",53.3323455,-6.2363307
"10 Thorncastle Street, Ringsend, Dublin 4",53.3421424,-6.2275291
"10 Thorncastle Street, Ringsend, Dublin 4",53.3420255,-6.227442
"72 Haddington Road, Dublin 4",53.3360826,-6.239071399999999
"Appian Way / Leeson Street Upper, Dublin 4",53.3286539,-6.2469734
"Circle K, Donnybrook, Dublin 4",53.3205164,-6.2341697
"Castleview House, 22 Sandymount Green, Sandymount, Dublin 4",53.332159,-6.2148337
"51 Kilbarrack Road, D05 R6K2, Kilbarrack, Dublin 5",53.38663829999999,-6.1473847
"McAloons, 15 Edenmore Shopping Centre, Edenmore, Dublin 5",53.36134759999999,-6.272500399999999
"McAloons, 15 Edenmore Shopping Centre, Edenmore, Dublin 5",53.3886638,-6.1813007
"Castle Petrol Filling Station, Artane, Dublin 5",53.3840467,-6.2144341
"3 Malahide Road, Artane, Dublin 5",53.3808455,-6.2084255
"3 Malahide Road, Artane, Dublin 5",53.3843013,-6.203714199999999
"6 Coolock Village, Main Street, Coolock, Dublin 5",53.38904549999999,-6.200897899999999
"52 Brighton Road, Rathgar, Dublin 6",53.3129426,-6.2786313
"27 Ranelagh Road, Ranelagh, Dublin 6",53.3287121,-6.259151
"Former Murphy & Gunn Showrooms & rear site, Milltown Road, Milltown, Dublin 6",53.3148133,-6.2462332
"73, 75, 77 Rathmines Road Upper, Rathmines, Dublin 6",53.3195604,-6.2651083
"65 Harold's Cross Road, Harold's Cross, Dublin 6",53.3269829,-6.2774596
"22 Greenmount Industrial Estate, Harold's Cross, Dublin 6w",53.3284417,-6.2791367
"Terenure Rd Terenure Dublin 6 w, Terenure, Dublin 6w",53.3108115,-6.2920208
"Terenure Rd Terenure Dublin 6 w, Terenure, Dublin 6w",53.3114231,-6.289170299999999
"300 Harold's Cross Road, Harold's Cross, Dublin 6w",53.3196666,-6.2790526
"72 Eccles Street, Phibsborough, D07 RD8P, Dublin 7",53.3576722,-6.264984999999999
"344 North Circular Road, Phibsborough, Dublin 7",53.3606938,-6.273840799999999
"Unit 16 Phibsborough Shopping Centre, Phibsborough, Dublin 7",53.34215349999999,-6.240628500000001
"Unit 16 Phibsborough Shopping Centre, Phibsborough, Dublin 7",53.3614477,-6.2729795
"Unit 507 The Capel Building, Mary's Abbey, Dublin 7",53.3466549,-6.269337999999999
"Unit 112, The Capel Building, Mary's Abbey, Dublin 7",53.3466549,-6.269337999999999
"Unit 221, The Capel Building, Mary's Abbey, Dublin 7",53.3466549,-6.269337999999999
"88, 89, 90 and 92a Prussia Street, Dublin 7",53.3540012,-6.2862317
"Cabra Barber Shop 56c Dowth Avenue, Cabra, Dublin 7",53.3612909,-6.2831467
"1 Imaal Mart, Imall Road, Cabra, Dublin 7",53.3615444,-6.285861199999999
"79 Montpellier Hill, Arbour Hill, Dublin 7",53.34868789999999,-6.2902225
"Suite 108 Capel Building, Dublin 7",53.3466549,-6.269337999999999
"Suite 108 Capel Building, Dublin 7",53.36137240000001,-6.2917383
"The Chancery Inn, Inns Quay, Smithfield, Dublin 7",53.345675,-6.271838000000001
"88 North King Street, Dublin 7",53.3498504,-6.2790535
"Maple Village Centre, Navan Road (D7), Dublin 7",53.3607538,-6.3011161
"Maple Village Centre, Navan Road (D7), Dublin 7",53.3825149,-6.361692
"2 Villa Park Avenue, Off Navan Road, Dublin 7",53.3639014,-6.310904799999999
"2 Villa Park Avenue, Off Navan Road, Dublin 7",53.36112199999999,-6.299282
"296C North Circular Road, Phibsborough, Dublin 7",53.3515058,-6.2960043
"296B NOrth Circular Road, North Circular Road, Dublin 7",53.3600435,-6.2768902
"296B NOrth Circular Road, North Circular Road, Dublin 7",53.3515058,-6.2960043
"Unit 1, Ardee Court, Dublin 8",53.3385317,-6.279198999999999
"The Bank House, 14 Cornmarket, Merchants Quay, Dublin 8",53.3431875,-6.2758238
"Unit 2 Jamestown Industrial Estate, Inchicore, Dublin 8",53.3345143,-6.334880200000001
"10 Meath Street, The Liberties, Dublin 8, Dublin 8",53.34204940000001,-6.279202499999999
"10 Meath Street, The Liberties, Dublin 8, Dublin 8",53.3410089,-6.279930999999999
"128-129 Thomas Street, Dublin 8",53.34316219999999,-6.280634999999999
"Unit 3 Oblate View, Inchicore, Dublin 8",53.3362084,-6.3292651
"63 Clanbrassil Street Lower, Dublin 8",53.33288899999999,-6.2755147
"344 South Circular Road, South Circular Road, Dublin 8",53.3325662,-6.2892719
"Clanbrassil Street, Dublin 8",53.33165289999999,-6.2754996
"Clanbrassil Street, Dublin 8",53.3310288,-6.2752553
"The Millworks, Islandbridge, Dublin 8",53.3473,-6.30829
"Kingsland Park, St Kevins Road, Portobello, Dublin 8, Dublin 8",53.33018879999999,-6.269633499999999
"109 South Circular Road, Dublin 8",53.3321119,-6.2749388
"South Circular Road, Portobello, Dublin 8",53.3326135,-6.2689182
"7 Clanbrassil Terrace, Dublin 8",53.3352989,-6.2745658
"45-46 Thomas Street, Dublin 8",53.3426883,-6.279325999999999
"41 James's Street, Dublin 8",53.3433439,-6.289421399999999
"40 James's Street, Dublin 8",53.3433108,-6.289649
"40 James's Street, Dublin 8",53.3435742,-6.2855363
"40 James's Street, Dublin 8",53.3433108,-6.289649
"40 James's Street, Dublin 8",53.3435742,-6.2855363
"115-117 Emmet Road, Kilmainham bank, Inchicore, Dublin 8",53.3404438,-6.3153999
"115-117 Emmet Road, Kilmainham bank, Inchicore, Dublin 8",53.3408563,-6.3153443
"13 Williams Place, Dublin 8",53.3355478,-6.2715157
"80 Thomas Street, Dublin 8",53.3431785,-6.276438799999999
"21 Prospect Road, Glasnevin, Dublin 9",53.365077,-6.271724100000001
"Woodville, 52/54 Botanic Avenue, Drumcondra, Dublin 9",53.3717692,-6.252888899999999
"3a Iona Crescent, Glasnevin, Dublin 9",53.3675799,-6.265983899999999
"12 &12A Wigan Road, Drumcondra, Dublin 9",53.3645936,-6.2667905
"4 Grace Park Gardens, Drumcondra, Dublin 9",53.3685252,-6.2487594
"Units 26, 42 & 43 Cherry Orchard Industrial Estate, Ballyfermot, Ballyfermot, Dublin 10",53.3455118,-6.3747706
"Units 26, 42 & 43 Cherry Orchard Industrial Estate, Ballyfermot, Ballyfermot, Dublin 10",53.3407201,-6.354400399999999
"Killeen Hall, Old Killeen Road, Cherry Orchard, Dublin 10",53.3311238,-6.3577515
"Killeen Hall, Old Killeen Road, Cherry Orchard, Dublin 10",53.332385,-6.356491999999999
"D23, The Enterprise Centre, North City Business Park, Finglas, Dublin 11",53.3969697,-6.320351
"Unit 10 North Park, Junction 5 M50, Finglas, Dublin 11",53.4006659,-6.3176403
"Unit 10 North Park, Junction 5 M50, Finglas, Dublin 11",53.4006659,-6.3176403
"Unit 10 North Park, Junction 5 M50, Finglas, Dublin 11",53.4006659,-6.3176403
"Unit 94B Lagan Road, Dublin Industrial Estate, Glasnevin, Dublin 11",53.37558259999999,-6.2910827
"Unit C2 North City Business Park, North Road, Finglas, Dublin 11",53.3977149,-6.3206254
"6 Pinewood Green, Glasnevin, Dublin 11",53.3941503,-6.275027199999999
"Glasilawn Avenue, Glasnevin, Dublin 11",53.3811167,-6.277447599999999
"Glasilawn Avenue, Glasnevin, Dublin 11",53.3816035,-6.277795299999999
"'Clever Buys' 1 Mc Kee Rd, Finglas, Dublin 11",53.3908546,-6.2941129
"21 Cardiffsbridge Road, Finglas, Dublin 11",53.3854549,-6.3123143
"Poppintree Cottages, Finglas, Dublin 11",53.4030721,-6.2912162
"5a McKee Ave, Finglas, Dublin 11",53.3910572,-6.2982327
"6 Church Street, Finglas, Dublin 11",53.3880336,-6.3006022
"17 Willow Park Road, Glasnevin, Dublin 11",53.3918748,-6.2797075
"12a Grove Road, Finglas, Dublin 11",53.3917285,-6.287360199999999
"S4 Unit S4 Henry Road, Parkwest Industrial Park, D12 VKP4, Park West, Dublin 12",53.3339656,-6.3568487
"Unit D7 Ballymount Industrial Estate, Dublin City, Ballymount, Dublin 12",53.3163942,-6.3495177
"Unit 9 Parkwest Enterprise Centre Lavery Avenue, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",53.3337851,-6.367201499999999
"Unit 12 Parkwest Enterprise Centre Lavery Avenue D12, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",53.3337851,-6.367201499999999
"Unit 75 Park West Enterprise Centre, Park West, Dublin 12",53.3344512,-6.367780499999999
"24 Fashion City, Ballymount, Dublin 12",53.306638,-6.350785399999999
"Unit 67 Western Parkway Business Park, Lower Ballymount Road, Ballymount, Dublin 12",53.315185,-6.3496465
"Units 9A & 9B Park West Industrial Park, Nangor Road, Park West, Dublin 12",53.32622689999999,-6.373400600000001
"Unit 242 Holly Road, Western Industrial Estate, Naas Road, Walkinstown, Dublin 12",53.3217648,-6.368879799999999
"Unit 242 Holly Road, Western Industrial Estate, Naas Road, Walkinstown, Dublin 12",53.3263317,-6.3450836
"Unit 242 Holly Road, Western Industrial Estate, Naas Road, Walkinstown, Dublin 12",53.324501,-6.3533116
"3A Ballymount Cross Industrial Estate, Ballymount Road, Ballymount, Dublin 12",53.3125,-6.3616667
"Unit 14A Mulcahy Keane Industrial Estate, Greenhills Road, Walkinstown, Dublin 12",53.3149472,-6.3333454
"Centro House, Bluebell Avenue, Bluebell Industrial Estate, Bluebell, Dublin 12",53.3298802,-6.3518862
"A3 Parkway Business Centre, Ballymount Road Lower, Ballymount, Dublin 12",53.3110793,-6.3601607
"Unit 3 Western Parkway Business Centre, Ballymount, Dublin 12",53.315185,-6.3496465
"Unit 3 Western Parkway Business Centre, Ballymount, Dublin 12",53.315566,-6.348873999999999
"ABC Stores, Bunting Road, Walkinstown, Dublin 12",53.3198908,-6.327216399999999
"20B Greenhills Industrial Estate, Walkinstown, Dublin 12",53.3133168,-6.3362547
"Industrial Unit to Rear of 13 Hughes Road North, Walkinstown, Dublin 12",53.3233668,-6.325888
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",53.3128716,-6.3483024
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",53.3128716,-6.3483024
"Unit D2C, Bluebell, Dublin 12",53.3282666,-6.3573407
"Park West Drive, Park West, Dublin 12",53.33259899999999,-6.370215
"Unit S3A Henry Road, Park West Industrial Park, Parkwest, Dublin 12, Park West, Dublin 12",53.3339656,-6.3568487
"Unit 12 Park West Drive, Park West, Dublin 12",53.3325933,-6.3728251
"7 Robinhood Business Park, Robinhood Road, Walkinstown, Dublin 12",53.3217454,-6.3541729
"3B & 3C Avonbeg Industrial Estate, Longmile Rd, Walkinstown, Dublin 12",53.32439770000001,-6.3466541
"Riverview House, Riverview Business Park, Nangor Road, Park West, Dublin 12",53.32771020000001,-6.3745376
"Riverview House, Riverview Business Park, Nangor Road, Park West, Dublin 12",53.32622689999999,-6.373400600000001
"Unit 12 Willow Business Park, Knockmitten Lane, Park West, Dublin 12",53.3252075,-6.3628481
"Unit 12 Willow Business Park, Knockmitten Lane, Park West, Dublin 12",53.3247356,-6.3669256
"Kylemore road, Bluebell, Dublin 12",53.3350966,-6.3466711
"Unit 40 Park West Enterprise Centre, Park West, Dublin 12",53.3337851,-6.367201499999999
"Unit 14 Mulcahy Keane Industrial estate, Greenhille Road, Walkinstown, Dublin 12",53.3153469,-6.3338063
"3 Ballymount Cottages, Turnpike road, Ballymount, Dublin 12",53.317513,-6.365820599999999
"Floods Bar, 140 & 142 Sundrive Road, Kimmage, Dublin 12",53.3245292,-6.296246200000001
"Floods Bar, 140 & 142 Sundrive Road, Kimmage, Dublin 12",53.3245278,-6.296188
"122a Cromwellsfort Road and 2 Cherry Grove Road, Walkinstown, Dublin 12",53.316424,-6.3214115
"122a Cromwellsfort Road and 2 Cherry Grove Road, Walkinstown, Dublin 12",53.316364,-6.321739099999999
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",53.321037,-6.3314663
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",53.3208446,-6.3311262
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",53.321037,-6.3314663
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",53.3208446,-6.3311262
"5 Saint Agnes Road, Crumlin, Dublin 12",53.3210354,-6.317695899999999
"5 Saint Agnes Road, Crumlin, Dublin 12",53.3199969,-6.316026799999999
"Unit 11 Western Parkway Business Centre, Ballymount Drive, Ballymount, Dublin 12",53.315185,-6.3496465
"Unit 79 Western Parkway Business Park, Ballymount, Dublin 12",53.3128716,-6.3483024
"Unit 79 Western Parkway Business Park, Ballymount, Dublin 12",53.3137626,-6.3480772
"50 A Robinhood Road, Ballymount, Dublin 12",53.320342,-6.3458595
"2 La Touche Road, Bluebell, Dublin 12",53.3300971,-6.333746
"Unit 7 A, Riverview Business Park, New Nangor Road, Park West, Dublin 12",53.32771020000001,-6.3745376
"Unit 7 A, Riverview Business Park, New Nangor Road, Park West, Dublin 12",53.32622689999999,-6.373400600000001
